"Date","Nom","Quantité","Possédée","URL"
"2025-09-17","Substrat de Buisson",1,"Non possédée","https://dofusdb.fr/fr/database/object/2539"
"2025-09-18","Os de Chafer",9,"Non possédée","https://dofusdb.fr/fr/database/object/310"
"2025-09-19","Rhum de Qualité",6,"Non possédée","https://dofusdb.fr/fr/database/object/2620"
"2025-09-20","Mijoté Récréatif",4,"Non possédée","https://dofusdb.fr/fr/database/object/17197"
"2025-09-21","Épée d'Ha",1,"Non possédée","https://dofusdb.fr/fr/database/object/62"
"2025-09-22","Sable Fin",2,"Non possédée","https://dofusdb.fr/fr/database/object/18366"
"2025-09-23","Crinière fleurie",1,"Non possédée","https://dofusdb.fr/fr/database/object/8753"
"2025-09-24","Pépite",3,"Non possédée","https://dofusdb.fr/fr/database/object/11522"
"2025-09-25","Crabe Surprise",3,"Non possédée","https://dofusdb.fr/fr/database/object/29378"
"2025-09-26","Obsidienne",30,"Non possédée","https://dofusdb.fr/fr/database/object/11458"
"2025-09-27","Tresse du Poolay",1,"Non possédée","https://dofusdb.fr/fr/database/object/8786"
"2025-09-28","Arc Déroutant",1,"Non possédée","https://dofusdb.fr/fr/database/object/267"
"2025-09-29","Mât de Fantômat",3,"Non possédée","https://dofusdb.fr/fr/database/object/11315"
"2025-09-30","Dent en Or de Craqueleur",1,"Non possédée","https://dofusdb.fr/fr/database/object/2252"
"2025-10-01","Aquarakne de Crânonier",2,"Non possédée","https://dofusdb.fr/fr/database/object/19409"
"2025-10-02","Bois de Pin",40,"Non possédée","https://dofusdb.fr/fr/database/object/27375"
"2025-10-03","Arc Holic",1,"Non possédée","https://dofusdb.fr/fr/database/object/1350"
"2025-10-04","Pom de pin",2,"Non possédée","https://dofusdb.fr/fr/database/object/27362"
"2025-10-05","Kralamoure",40,"Non possédée","https://dofusdb.fr/fr/database/object/9720"
"2025-10-06","Étamine de Floribonde",4,"Non possédée","https://dofusdb.fr/fr/database/object/8778"
"2025-10-07","Pic de Ravageur",1,"Non possédée","https://dofusdb.fr/fr/database/object/26036"
"2025-10-08","Viande Saignante",5,"Non possédée","https://dofusdb.fr/fr/database/object/17144"
"2025-10-09","Poils de Pétartifoux",4,"Non possédée","https://dofusdb.fr/fr/database/object/7294"
"2025-10-10","Dent de Dragodinde",6,"Non possédée","https://dofusdb.fr/fr/database/object/2179"
"2025-10-11","Kolérat Mort",1,"Non possédée","https://dofusdb.fr/fr/database/object/2500"
"2025-10-12","Tige de Bambouto",5,"Non possédée","https://dofusdb.fr/fr/database/object/7290"
"2025-10-13","Parmentier à l'Oignon",4,"Non possédée","https://dofusdb.fr/fr/database/object/17179"
"2025-10-14","Masque de la Vengeance",2,"Non possédée","https://dofusdb.fr/fr/database/object/14923"
"2025-10-15","Chanvre",50,"Non possédée","https://dofusdb.fr/fr/database/object/17721"
"2025-10-16","Corne du Boufcoul",5,"Non possédée","https://dofusdb.fr/fr/database/object/7906"
